epx	TW92aWUuMjE2MHAuVUhELkJsdVJheS5SRU1VWC5EVi5UcnVlSEQuQXRtb3MuNy4xLkhFVkM=	4k,71,combo-dv-atmos-truehd,hevc,remux
all	TW92aWUuMjE2MHAuVUhELkJsdVJheS5SRU1VWC5EVi5UcnVlSEQuQXRtb3MuNy4xLkhFVkM=	4k,71,combo-dv-atmos-truehd,hevc,remux
epx	RG9sYnkgVmlzaW9uCkUtQUMtMyBKT0MKNS4x	51,combo-dv-atmos-ddplus
all	RG9sYnkgVmlzaW9uCkUtQUMtMyBKT0MKNS4x	51,combo-dv-atmos-ddplus
epx	QXRtb3MNCkRWDQpUcnVlSEQ=	combo-dv-atmos-truehd
all	QXRtb3MNCkRWDQpUcnVlSEQ=	combo-dv-atmos-truehd
epx	RG9sYnkgVmlzaW9uCkF0bW9z	combo-dv-atmos
all	RG9sYnkgVmlzaW9uCkF0bW9z	combo-dv-atmos
epx	RG9WaSBUcnVlIEhE	combo-dv-truehd
all	RG9WaSBUcnVlIEhE	combo-dv-truehd
epx	VHJ1ZUhEIEF0bW9z	combo-atmos-truehd
all	VHJ1ZUhEIEF0bW9z	combo-atmos-truehd
epx	RUFDMyBKT0M=	combo-atmos-ddplus
all	RUFDMyBKT0M=	combo-atmos-ddplus
epx	RFRTOlggRFRTLUhEIE1BIDcuMQ==	71,combo-dtsx-dtshd
all	RFRTOlggRFRTLUhEIE1BIDcuMQ==	71,combo-dtsx-dtshd
epx	RFYgQXRtb3MgVHJ1ZUhEIEVBQzM=	combo-dv-atmos-truehd,ddplus
all	RFYgQXRtb3MgVHJ1ZUhEIEVBQzM=	combo-dv-atmos-truehd,ddplus
epx	RFYgQXRtb3MgRFRTOlggRFRTLUhEIE1B	combo-dtsx-dtshd,combo-dv-atmos
all	RFYgQXRtb3MgRFRTOlggRFRTLUhEIE1B	combo-dtsx-dtshd,combo-dv-atmos
epx	SERSMTAr	hdr10plus
all	SERSMTAr	hdr10plus
epx	SERSMTBQbHVz	hdr10plus
all	SERSMTBQbHVz	hdr10plus
epx	SERSMTBQ	hdr10plus
all	SERSMTBQ	hdr10plus
epx	SERSIDEwICs=	hdr10plus
all	SERSIDEwICs=	hdr10plus
epx	aGRyMTAr	hdr10plus
all	aGRyMTAr	hdr10plus
epx	ZmlsZV9IRFIxMCtfZW5k	hdr10plus
all	ZmlsZV9IRFIxMCtfZW5k	hdr10plus
epx	SERSMTArCkhEUjEw	hdr10plus
all	SERSMTArCkhEUjEw	hdr10plus
epx	4oGk	hdr10plus
all	4oGk	hdr10plus
epx	SERSMTA=	hdr10
all	SERSMTA=	hdr10
epx	SERS	hdr
all	SERS	hdr
epx	SExH	hlg
all	SExH	hlg
epx	SHlicmlkIExvZyBHYW1tYQ==	hlg
all	SHlicmlkIExvZyBHYW1tYQ==	hlg
epx	U0RS	sdr
all	U0RS	sdr
epx	RFYgSERSMTA=	dolby-vision,hdr10
all	RFYgSERSMTA=	dolby-vision,hdr10
epx	RG9sYnkgVmlzaW9uIEhEUjEwKw==	dolby-vision,hdr10plus
all	RG9sYnkgVmlzaW9uIEhEUjEwKw==	dolby-vision,hdr10plus
epx	RFYgU0RS	dolby-vision
all	RFYgU0RS	dolby-vision
epx	SERUVg==	hdtv
all	SERUVg==	hdtv
epx	V0VCUmlw	webrip
all	V0VCUmlw	webrip
epx	V0VCLURM	web-dl
all	V0VCLURM	web-dl
epx	V0VCUmlwIFdFQi1ETA==	webrip
all	V0VCUmlwIFdFQi1ETA==	webrip
epx	TkYgV0VCUmlw	webrip
all	TkYgV0VCUmlw	netflix,webrip
epx	TkY=	-
all	TkY=	-
epx	TWFkLk1heC4yMDE1LjEwODBw	1080p
all	TWFkLk1heC4yMDE1LjEwODBw	1080p
epx	SE1BWCBXRUItREw=	web-dl
all	SE1BWCBXRUItREw=	max,web-dl
epx	TW92aWUuMTA4MHAuVUhELkJsdVJheQ==	1080p,bluray
all	TW92aWUuMTA4MHAuVUhELkJsdVJheQ==	1080p,bluray
epx	TW92aWVfNEtfVUhEX0JsdVJheQ==	4k,uhd-bluray
all	TW92aWVfNEtfVUhEX0JsdVJheQ==	4k,uhd-bluray
epx	TW92aWUuMzg0MHgxNjAwLlJFTVVY	4k,remux
all	TW92aWUuMzg0MHgxNjAwLlJFTVVY	4k,remux
epx	MTkyMMOXMTA4MA==	1080p
